EEG1,EEG2,Acc_X,Acc_Y,Acc_Z,User_Number
866.9046631,842.2299194,-531.2508545,859.3763428,238.2816162,1
845.5198975,822.4901733,-519.5320435,855.4700928,246.0941315,1
860.324707,835.6500244,-519.5320435,855.4700928,246.0941315,1
860.324707,835.6500244,-542.9696045,851.5638428,238.2816162,1
835.6500244,837.2949829,-535.1571045,859.3763428,238.2816162,1
852.0997925,838.9400024,-507.8132935,855.4700928,242.1878815,1
852.0997925,838.9400024,-519.5320435,859.3763428,242.1878815,1
853.744812,842.2299194,-519.5320435,859.3763428,242.1878815,1
825.7801514,840.5849609,-519.5320435,859.3763428,242.1878815,1
825.7801514,840.5849609,-542.9696045,863.2825928,234.3753662,1
850.454834,842.2299194,-546.8758545,859.3763428,226.562851,1
814.2652588,848.8098755,-523.4382935,863.2825928,238.2816162,1
848.8098755,843.874939,-527.3446045,847.6575928,242.1878815,1
834.0050049,843.874939,-523.4382935,859.3763428,242.1878815,1
822.4901733,845.5198975,-523.4382935,863.2825928,242.1878815,1
850.454834,845.5198975,-523.4382935,863.2825928,242.1878815,1
852.0997925,847.164856,-523.4382935,863.2825928,246.0941315,1
834.0050049,848.8098755,-523.4382935,851.5638428,250.0003967,1
834.0050049,848.8098755,-519.5320435,851.5638428,253.9066467,1
860.324707,847.164856,-523.4382935,851.5638428,253.9066467,1
857.034729,848.8098755,-527.3446045,855.4700928,253.9066467,1
857.034729,848.8098755,-527.3446045,863.2825928,253.9066467,1
830.7150879,840.5849609,-527.3446045,859.3763428,253.9066467,1
850.454834,845.5198975,-527.3446045,855.4700928,257.8128967,1
853.744812,845.5198975,-527.3446045,855.4700928,257.8128967,1
827.4251099,842.2299194,-515.6257935,847.6575928,261.7191467,1
845.5198975,847.164856,-519.5320435,843.7513428,261.7191467,1
843.874939,843.874939,-527.3446045,847.6575928,269.5316772,1
855.3897705,842.2299194,-527.3446045,847.6575928,269.5316772,1
863.6146851,838.9400024,-519.5320435,851.5638428,273.4379272,1
847.164856,840.5849609,-500.0007935,847.6575928,289.0629578,1
838.9400024,835.6500244,-539.0633545,867.1888428,265.6254272,1
853.744812,837.2949829,-511.7195435,820.3137817,292.9692078,1
845.5198975,842.2299194,-515.6257935,835.9387817,296.8754578,1
837.2949829,837.2949829,-515.6257935,835.9387817,296.8754578,1
840.5849609,838.9400024,-496.0945129,847.6575928,328.1255188,1
829.0700684,829.0700684,-503.9070435,859.3763428,320.3129883,1
827.4251099,855.3897705,-503.9070435,859.3763428,320.3129883,1
809.3303223,870.1945801,-503.9070435,859.3763428,320.3129883,1
